destination,topic,mean_theta,overall_mean,above_avg
vepric,21,0.00336602629552291,0.0147408960682347,FALSE
sinj,22,0.0353303726325768,0.0233837071360563,TRUE
marija_bistrica,22,0.0124508676465727,0.0233837071360563,FALSE
vocin,22,0.0115937000548701,0.0233837071360563,FALSE
nin,22,0.0154352498038875,0.0233837071360563,FALSE
krasno,22,0.0120558383157794,0.0233837071360563,FALSE
ludbreg,22,0.0147923696138631,0.0233837071360563,FALSE
trsat,22,0.0143958902062325,0.0233837071360563,FALSE
aljmas,22,0.0259331625596331,0.0233837071360563,FALSE
solin,22,0.031275743332081,0.0233837071360563,TRUE
vepric,22,0.060573877195067,0.0233837071360563,TRUE
sinj,23,0.006892962700819,0.0385293287504071,FALSE
marija_bistrica,23,0.00133139356508552,0.0385293287504071,FALSE
vocin,23,0.000638309937053924,0.0385293287504071,FALSE
nin,23,0.355465376432621,0.0385293287504071,TRUE
krasno,23,0.00548593543372193,0.0385293287504071,FALSE
ludbreg,23,0.000752265247301303,0.0385293287504071,FALSE
trsat,23,0.00194124159845593,0.0385293287504071,FALSE
aljmas,23,0.00790336196853412,0.0385293287504071,FALSE
solin,23,0.00451814651943185,0.0385293287504071,FALSE
vepric,23,0.000364294101046148,0.0385293287504071,FALSE
sinj,24,0.191246212854213,0.0211033535721596,TRUE
marija_bistrica,24,0.00102698001454996,0.0211033535721596,FALSE
vocin,24,0.00160626447652318,0.0211033535721596,FALSE
nin,24,0.00618243801985946,0.0211033535721596,FALSE
krasno,24,0.00256467492539238,0.0211033535721596,FALSE
ludbreg,24,0.00059332265233284,0.0211033535721596,FALSE
trsat,24,0.00103500104832791,0.0211033535721596,FALSE
aljmas,24,0.00174926758144537,0.0211033535721596,FALSE
solin,24,0.00439390897326965,0.0211033535721596,FALSE
vepric,24,0.000635465175681674,0.0211033535721596,FALSE
sinj,25,0.0184767336935195,0.074032895642531,FALSE
marija_bistrica,25,0.00748303711309867,0.074032895642531,FALSE
vocin,25,0.00547830320283862,0.074032895642531,FALSE
nin,25,0.00322256397746636,0.074032895642531,FALSE
krasno,25,0.000510198380465616,0.074032895642531,FALSE
ludbreg,25,0.586981181003707,0.074032895642531,TRUE
trsat,25,0.00632854630442769,0.074032895642531,FALSE
aljmas,25,0.00266022760413806,0.074032895642531,FALSE
solin,25,0.00323260915406307,0.074032895642531,FALSE
vepric,25,0.105955555991584,0.074032895642531,TRUE
sinj,26,0.020461216204033,0.0198947001159296,FALSE
marija_bistrica,26,0.0403412504661241,0.0198947001159296,TRUE
vocin,26,0.0358308153682398,0.0198947001159296,TRUE
nin,26,0.0194759572244966,0.0198947001159296,FALSE
krasno,26,0.0163386651876194,0.0198947001159296,FALSE
ludbreg,26,0.00581368233320454,0.0198947001159296,FALSE
trsat,26,0.0139196188397144,0.0198947001159296,FALSE
aljmas,26,0.0185143672358801,0.0198947001159296,FALSE
solin,26,0.0216837853388073,0.0198947001159296,FALSE
vepric,26,0.00656764296117726,0.0198947001159296,FALSE
sinj,27,0.0882041387783414,0.0642651955253337,TRUE
marija_bistrica,27,0.0126281851162481,0.0642651955253337,FALSE
vocin,27,0.0363583792668173,0.0642651955253337,FALSE
nin,27,0.0126072472947269,0.0642651955253337,FALSE
krasno,27,0.0573019970186694,0.0642651955253337,FALSE
ludbreg,27,0.00244569154387474,0.0642651955253337,FALSE
trsat,27,0.0497995591439469,0.0642651955253337,FALSE
aljmas,27,0.0527106548585463,0.0642651955253337,FALSE
solin,27,0.0420600049183896,0.0642651955253337,FALSE
vepric,27,0.288536097313776,0.0642651955253337,TRUE
sinj,28,0.0191462974549561,0.0168519422270138,FALSE
marija_bistrica,28,0.0638522829851698,0.0168519422270138,TRUE
vocin,28,0.0127117641133572,0.0168519422270138,FALSE
nin,28,0.00229251862211449,0.0168519422270138,FALSE
krasno,28,0.00625090610897245,0.0168519422270138,FALSE
ludbreg,28,0.0279229835863676,0.0168519422270138,TRUE
trsat,28,0.00853065552996416,0.0168519422270138,FALSE
aljmas,28,0.00941835690826698,0.0168519422270138,FALSE
solin,28,0.00481155089375634,0.0168519422270138,FALSE
vepric,28,0.0135821060672129,0.0168519422270138,FALSE
sinj,29,0.018352197443694,0.0243822342588402,FALSE
marija_bistrica,29,0.0476058797432596,0.0243822342588402,TRUE
vocin,29,0.0227576147131735,0.0243822342588402,FALSE
nin,29,0.0177019211160693,0.0243822342588402,FALSE
krasno,29,0.0368807320332277,0.0243822342588402,TRUE
ludbreg,29,0.0190837879016311,0.0243822342588402,FALSE
trsat,29,0.0216533264139773,0.0243822342588402,FALSE
aljmas,29,0.0185129878646473,0.0243822342588402,FALSE
solin,29,0.0130227756722836,0.0243822342588402,FALSE
vepric,29,0.0282511196864384,0.0243822342588402,FALSE
sinj,30,0.031397464147021,0.0177875976618567,TRUE
marija_bistrica,30,0.021926541594165,0.0177875976618567,TRUE
vocin,30,0.00741738511977627,0.0177875976618567,FALSE
nin,30,0.00804443039178053,0.0177875976618567,FALSE
krasno,30,0.0147072077328036,0.0177875976618567,FALSE
ludbreg,30,0.0250247455514793,0.0177875976618567,TRUE
trsat,30,0.0104259007141353,0.0177875976618567,FALSE
aljmas,30,0.0112301797260784,0.0177875976618567,FALSE
solin,30,0.0150687475608733,0.0177875976618567,FALSE
vepric,30,0.0326333740804541,0.0177875976618567,TRUE
