term,estimate,se,t_val,p_val,topic,destination,sig
destinationsinj,-0.12382292685851,14.8878374281109,-0.00831705259117825,0.993364147965126,9,sinj,""
destinationsolin,0.0164602727366403,17.2415933376332,0.000954683967676728,0.999238286212547,9,solin,""
destinationtrsat,0.058349121116598,14.8878015086538,0.00391925705636803,0.996872949533374,9,trsat,""
destinationvepric,0.150432288561058,0.0134912391506084,11.1503685378132,9.44201415092748e-29,9,vepric,***
destinationvocin,-0.0045851485083774,0.00375345377051097,-1.22158118594683,0.221886756772672,9,vocin,""
destinationkrasno,-0.00732574881695059,0.00699970706621751,-1.04657934219943,0.295311825543264,10,krasno,""
destinationludbreg,0.00385823085951073,0.00649883086015172,0.593680762361102,0.552735309409526,10,ludbreg,""
destinationmarija_bistrica,-0.147679081607474,15.6320872400763,-0.00944717614093567,0.992462491662728,10,marija_bistrica,""
destinationnin,0.125585966224811,18.1652332575816,0.00691353446685831,0.994483940709027,10,nin,""
destinationsinj,-0.126510060081613,15.6320870995899,-0.00809297308002664,0.993542928314157,10,sinj,""
destinationsolin,0.278357821574679,18.1653099074473,0.0153235933211665,0.987774239788828,10,solin,""
destinationtrsat,-0.131306181046153,15.6320465343171,-0.00839980745693761,0.993298122629138,10,trsat,""
destinationvepric,0.000998784199405179,0.00806223859440518,0.123884227402832,0.901408732065877,10,vepric,""
destinationvocin,-0.00604135325266801,0.00394512611313627,-1.53134604051106,0.125706641338725,10,vocin,""
destinationkrasno,0.00389676688703887,0.00972759387552177,0.400588977798978,0.688728916518762,11,krasno,""
destinationludbreg,0.0375595188587127,0.0087736202336556,4.28096018045486,1.87335780606311e-05,11,ludbreg,***
destinationmarija_bistrica,-0.0747108651306956,19.2402338375722,-0.00388305390471922,0.996901834729967,11,marija_bistrica,""
destinationnin,-0.07174625984362,22.2756267340052,-0.00322084135725325,0.997430191055155,11,nin,""
destinationsinj,0.0204283005675511,19.2402570613906,0.00106174779798263,0.999152863214633,11,sinj,""
destinationsolin,-0.0717305072673691,22.2756353573956,-0.00322013294420148,0.997430756273899,11,solin,""
destinationtrsat,-0.0524594856636043,19.2403053197636,-0.00272654122643875,0.997824576659236,11,trsat,""
destinationvepric,-0.0134054404772717,0.00940761290780433,-1.42495663976043,0.154192179412999,11,vepric,""
destinationvocin,-0.00949530578906214,0.0049712724486041,-1.91003528517701,0.056149221800516,11,vocin,""
destinationkrasno,-0.00794945717812111,0.0064104463469126,-1.2400785761119,0.214967257888421,12,krasno,""
destinationludbreg,-0.000166529646127945,0.00562667785809902,-0.0295964422218064,0.976389327519188,12,ludbreg,""
destinationmarija_bistrica,0.0568857272496058,12.8577016347939,0.00442425317256304,0.99647003168389,12,marija_bistrica,""
destinationnin,0.00851503354458919,14.8402576918752,0.000573779358915784,0.999542198564288,12,nin,""
destinationsinj,0.0616125820966409,12.8577136715398,0.00479187697522139,0.99617671871722,12,sinj,""
destinationsolin,-0.115527778642277,14.8402828074805,-0.0077847423894134,0.993788848650473,12,solin,""
destinationtrsat,0.0578621987495365,12.8577432514031,0.00450018308953418,0.996409450067856,12,trsat,""
destinationvepric,-0.0138815139136608,0.00645822323608733,-2.14943234481173,0.0316173453488218,12,vepric,*
destinationvocin,-0.00393982393815158,0.0035074079722579,-1.12328647517309,0.261335239236515,12,vocin,""
destinationkrasno,0.00670552137767547,0.00673347141071001,0.995849090115673,0.31934080337704,13,krasno,""
destinationludbreg,-0.000834663992634488,0.00559074767845448,-0.149293804807379,0.881323968650852,13,ludbreg,""
destinationmarija_bistrica,-0.02642950939679,14.5476667603137,-0.00181675246156243,0.998550468119152,13,marija_bistrica,""
destinationnin,-0.0553680931120053,16.604259329789,-0.00333457169105228,0.997339449496721,13,nin,""
destinationsinj,0.060053666223666,14.5476765001329,0.00412805895313367,0.996706354067954,13,sinj,""
destinationsolin,-0.0440366323701292,16.6043346770388,-0.00265211664463889,0.9978839576016,13,solin,""
destinationtrsat,-0.0248612827440218,14.5476777394492,-0.00170895198459099,0.998636478775264,13,trsat,""
destinationvepric,-0.000635536195757976,0.00714464716701631,-0.0889527755397029,0.929120721992121,13,vepric,""
destinationvocin,-0.000965216010055298,0.00360860709105752,-0.267476060900949,0.789106610580662,13,vocin,""
destinationkrasno,-0.0764121372821944,0.00839982566240348,-9.09687181059068,1.05411747103079e-19,14,krasno,***
destinationludbreg,-0.0876220581412209,0.00729785200037,-12.0065545501304,4.78160212632348e-33,14,ludbreg,***
destinationmarija_bistrica,0.0419358810090057,15.9164744778618,0.00263474685096466,0.9978978163942,14,marija_bistrica,""
destinationnin,0.0947294711725687,18.4337857049798,0.00513890487220853,0.995899838909121,14,nin,""
destinationsinj,0.0303998639381568,15.9164740309466,0.00190996221142007,0.998476098965078,14,sinj,""
destinationsolin,0.154777321721892,18.4337357985473,0.00839641640812107,0.993300828150572,14,solin,""
destinationtrsat,0.0393649373652895,15.9164786198154,0.002473219001864,0.998026694233501,14,trsat,""
destinationvepric,-0.0910552814637612,0.00857083682192449,-10.6238496141752,2.91066957040694e-26,14,vepric,***
destinationvocin,-0.0802568085305997,0.00554385753145834,-14.476708334438,3.74417102824499e-47,14,vocin,***
destinationkrasno,0.024039042375458,0.0106129505582657,2.26506683918692,0.0235238978398634,15,krasno,*
destinationludbreg,-7.7169715367623e-06,0.00827359954576983,-0.000932722389338734,0.999255808693988,15,ludbreg,""
destinationmarija_bistrica,0.350609091120649,21.3641666391565,0.0164110820254532,0.986906674213834,15,marija_bistrica,""
destinationnin,0.105911008547232,24.1140509788976,0.00439208694714613,0.996495695907727,15,nin,""
destinationsinj,0.179905346454029,21.3641468595376,0.00842090010131691,0.993281294031649,15,sinj,""
destinationsolin,0.107483785033508,24.1140844351298,0.00445730317162378,0.996443662334042,15,solin,""
destinationtrsat,0.188646657040235,21.3642159519796,0.00883002949718618,0.992954874018317,15,trsat,""
destinationvepric,0.0136134901916413,0.0114803165361341,1.18581139716776,0.235717052303642,15,vepric,""
